conformer_id,energy
237,-82.4268172
238,-82.42684843
239,-82.42683785
240,-82.42683554
241,-82.4268206
242,-82.42683025
243,-82.42677051
244,-82.42917947
245,-82.42680909
246,-82.42918068
247,-82.42682033
248,-82.43196172
249,-82.42685399
250,-82.42940279
251,-82.4268809
252,-82.42908253
253,-82.42771696
254,-82.42909088
255,-82.42965202
256,-82.42848227
257,-82.42910549
258,-82.42904972
259,-82.42882337
260,-82.427718
261,-82.42681676
262,-82.42881951
263,-82.42777395
264,-82.43037175
265,-82.42785591
266,-82.42873001
267,-82.42783881
268,-82.43030424
269,-82.42905154
270,-82.42773377
271,-82.42965494
272,-82.42758735
273,-82.42861081
274,-82.43022935
275,-82.42784447
276,-82.42676053
277,-82.43015747
278,-82.43026838
279,-82.43013153
280,-82.42908491
281,-82.42824562
282,-82.43025071
283,-82.42876433
284,-82.42926351
285,-82.43021536
286,-82.4302058
287,-82.42989294
288,-82.42988418
289,-82.42990808
290,-82.42988252
291,-82.43035993
292,-82.42995085
293,-82.42985321
294,-82.42847924
295,-82.43003106
296,-82.42834148
297,-82.42877406
298,-82.43229642
299,-82.42993436
300,-82.42880305
301,-82.42879054
302,-82.4295957
303,-82.42777918
304,-82.42983301
305,-82.42968417
306,-82.42725897
307,-82.42725438
308,-82.42728702
309,-82.43199113
310,-82.42717271
311,-82.42719189
312,-82.42728201
313,-82.42844803
314,-82.42787136
315,-82.43223697
316,-82.43031801
317,-82.4268411
318,-82.42866786
319,-82.42825565
320,-82.43030617
321,-82.42882931
322,-82.43196649
323,-82.42882375
324,-82.42991707
325,-82.42883705
326,-82.42822228
327,-82.42882586
328,-82.42949648
329,-82.42951309
330,-82.4294885
331,-82.42970003
332,-82.4288424
333,-82.42947927
334,-82.42871396
335,-82.42948144
336,-82.42941426
337,-82.43020093
338,-82.43013966
339,-82.43019556
340,-82.43013448
341,-82.42942539
342,-82.42882422
343,-82.43020787
344,-82.43020353
345,-82.43022368
346,-82.42853965
347,-82.43020312
348,-82.43023623
349,-82.42713217
350,-82.4271586
351,-82.42726354
352,-82.43026961
353,-82.42725143
354,-82.42727373
355,-82.42735842
356,-82.42714966
357,-82.42727288
358,-82.42719813
359,-82.42734063
360,-82.42756756
361,-82.4283102
362,-82.42717341
363,-82.42984482
364,-82.42685765
365,-82.43123315
366,-82.43125213
367,-82.42874893
368,-82.43128094
369,-82.4312668
370,-82.43123235
371,-82.43124497
372,-82.4268151
373,-82.42868634
374,-82.43123605
375,-82.42738145
376,-82.43125662
377,-82.42889778
378,-82.42837828
379,-82.42726874
380,-82.42708756
381,-82.42879765
382,-82.43125882
383,-82.42683255
384,-82.42740541
385,-82.43125251
386,-82.42884859
387,-82.4282332
388,-82.42691445
389,-82.42689953
390,-82.42690344
391,-82.42690434
392,-82.4269117
393,-82.4268565
394,-82.42685913
395,-82.42686186
396,-82.42685871
397,-82.42691701
398,-82.42683222
399,-82.42683764
400,-82.42689375
401,-82.42691602
402,-82.42685564
403,-82.42692362
404,-82.4269374
405,-82.4268283
406,-82.42690831
407,-82.42822134
408,-82.42801352
409,-82.4268572
410,-82.42683552
411,-82.42686918
412,-82.42691545
413,-82.42692414
414,-82.42692253
415,-82.42692542
416,-82.42677725
417,-82.42773004
418,-82.42670105
419,-82.42692366
420,-82.42693586
421,-82.42878427
422,-82.42693384
423,-82.42694414
424,-82.4268799
425,-82.43122678
426,-82.43058706
427,-82.43058433
428,-82.42872264
429,-82.43051036
430,-82.4305192
431,-82.42874698
432,-82.43054258
433,-82.42840231
434,-82.42687971
435,-82.42870948
436,-82.42909852
437,-82.4305796
438,-82.43057944
439,-82.43057763
440,-82.43057861
441,-82.43058158
442,-82.43057543
443,-82.42718021
444,-82.42990731
445,-82.42980891
446,-82.42981921
447,-82.43042017
448,-82.43046352
449,-82.43000091
450,-82.43000852
451,-82.43000299
452,-82.43046592
453,-82.42998996
454,-82.43042417
455,-82.43038789
456,-82.43054553
457,-82.43049832
458,-82.43051719
459,-82.43021978
460,-82.43054691
461,-82.4305738
462,-82.43032213
463,-82.43217392
464,-82.42775427
465,-82.42684947
466,-82.43054106
467,-82.43043797
468,-82.42863977
469,-82.43044615
470,-82.42980223
471,-82.43048562
472,-82.42789968
473,-82.43055299
474,-82.42788226
475,-82.42790194
476,-82.42789746
477,-82.42787166
478,-82.42790241
479,-82.43048099
480,-82.43050391
481,-82.4299434
482,-82.42882176
483,-82.42986933
484,-82.43051359
485,-82.42981006
486,-82.42791555
487,-82.43045124
488,-82.43045368
489,-82.42983319
490,-82.42988192
491,-82.42787782
492,-82.42786823
493,-82.42790347
494,-82.43050606
495,-82.42688008
496,-82.430477
497,-82.42787171
498,-82.43044446
499,-82.42791878
500,-82.42541006
501,-82.42540894
502,-82.42540556
503,-82.42541033
504,-82.43048733
505,-82.42532703
506,-82.42533329
507,-82.42537157
508,-82.42779211
509,-82.43006275
510,-82.43051039
511,-82.42987162
512,-82.42786705
513,-82.42790135
514,-82.427496
515,-82.42972529
516,-82.4297295
517,-82.42972015
518,-82.42971575
519,-82.42967971
520,-82.42966375
521,-82.4297375
522,-82.42991346
523,-82.42993365
524,-82.42990671
525,-82.42975706
526,-82.42548261
527,-82.42885337
528,-82.42990708
529,-82.42882551
530,-82.42783167
531,-82.42994005
532,-82.42994176
533,-82.43065465
534,-82.42887597
535,-82.42992617
536,-82.42995914
537,-82.43076726
538,-82.42790551
539,-82.4299267
540,-82.4287569
541,-82.42874647
542,-82.42876147
543,-82.42875476
544,-82.42864104
545,-82.4286816
546,-82.42869355
547,-82.42788023
548,-82.42811148
